text	[n]正文, 原文, 課文, 課本
thankful	[a]感謝的, 感激的
theory	[n]理論, 學說, ...論, 原理, 意見, 推測
account	[n]計算, 帳目, 說明, 估計, 理由；[vi]說明, 總計有, 認為, 得分；[vt]認為
accurate	[a]正確的, 精確的
ache	[n]疼痛；[vi]覺得疼痛, 渴望
achieve	[vt]完成, 達到
achievement	[n]成就, 功勣
activity	[n]活躍, 活動性, 行動, 行為, 放射性
actual	[a]實際的, 真實的, 現行的, 目前的
ad	[n]廣告； Andorra , 安道爾；[縮] Air Defense, 防空
additional	[a]另外的, 附加的, 額外的
admire	[v]讚美, 欽佩, 羨慕
admit	[v]容許, 承認, 接納
adopt	[vt]採用, 收養
advanced	[a]高級的, 年老的, 先進的
advantage	[n]優勢, 有利條件, 利益
adventure	[n]冒險, 冒險的經歷；[v]冒險
advertisement	[n]廣告, 做廣告
advice	[n]忠告, 建議, 通知
adviser	[n]顧問, <美>(學生的)指導老師
affect	[vt]影響, 感動, 侵襲, 假裝
afford	[vt]提供, 給予, 供應得起
afterwards	[副]然後, 後來地
agriculture	[n]農業, 農藝, 農學
air-conditioner	[n]空調機
alley	[n]小路, 巷, (花園裡兩邊有樹籬的)小徑
amaze	[vt]使吃驚
amazement	[n]驚愕, 驚異
ambassador	[n]大使
ambition	[n]野心, 雄心
angel	[n]天使, 完善可愛的人
angle	[n]角, 角落；[vi]釣魚, 追逐
announce	[vt]宣佈, 通告
announcement	[n]宣告, 發表, 一項公告, 一項私人告示
apart	[副]分離, 分成零件, 分別地, 分離著；[a]分開的
apparent	[a]顯然的, 外觀上的
appeal	[n]請求, 呼籲, 上訴, 吸引力, 要求；[vi]求助, 訴請, 要求；[vt]控訴
appreciate	[vt]賞識, 鑒賞, 感激；[vi]增值, 漲價
approach	[n]接近, 逼近, 走進, 方法, 步驟, 途徑, 通路；[vt]接近, 動手處理；[vi]靠近
approve	[vi]贊成, 滿意；[vt]批准, 通過；[v]批准
aquarium	[n]養魚池, 玻璃缸, 水族館
arrival	[n]到來, 到達, 到達者
ash	[n]灰, 灰燼, 岑樹
aside	[副]在旁邊, 到旁邊
assist	[v]援助, 幫助
athlete	[n]運動員, 運動選手
attempt	[n]努力, 嘗試, 企圖；[vt]嘗試, 企圖
attitude	[n]姿勢, 態度, 看法, 意見
attract	[vt]吸引；[vi]有吸引力, 引起注意
attractive	[a]吸引人的, 有魅力的
audience	[n]聽眾, 觀眾, 接見, 拜見
author	[n]作家, 創造者
auto	[n]<美口>汽車
automatic	[n]自動機械；[a]自動的, 無意識的, 機械的
automobile	[n]<主美>汽車(=<英> motor car,car)
available	[a]可用到的, 可利用的, 有用的, 有空的, 接受探訪的
avenue	[n]林蔭道, 大街, 方法, 途徑, 路
average	[n]平均, 平均水平, 平均數, 海損；[a]一般的, 通常的, 平均的；[vt]平均為, 均分, 使平衡；[vi]買進, 賣出
awake	[vi]醒, 覺醒, 領會, 覺悟；[vt]喚醒；[a]警覺的, 醒的
awaken	[v]喚醒, 醒來, 喚起
award	[n]獎, 獎品；[vt]授予, 判給
aware	[a]知道的, 明白的, 意識到的
awful	[a]可怕的, 威嚴的, <口>極度的, 糟糕的
ax	[n]斧頭；[vt]削減
axe	[n]斧, (經費的)大削減
union	[n]聯合, 合併, 結合, 聯盟, 協會
unite	[v]聯合, 團結
universe	[n]宇宙, 世界, 萬物, 領域
badly	[副]嚴重地, 惡劣地
badminton	[n]羽毛球
baggage	[n]行李, 輜重
bait	[n]餌, 誘惑物；
balance	[n]天平, 平衡, 收支差額, 結余, 余額；[v]平衡,
bandage	[n]繃帶
bare	[a]赤裸的, 無遮蔽的, 空的；[vt]使赤裸, 露出
barely	[副]僅僅, 剛剛, 幾乎不能
barn	[n]穀倉, 畜棚, 畜舍, 機器房
barrel	[n]桶；[vt]裝入桶內
bay	[n]海灣, 狗吠聲, 絕路；[vt]吠, 使走投無路；[vi]吠
beam	[n]梁, 桁條, (光線的)束, 柱, 電波, 橫梁；[v]播送
beast	[n]獸, 畜牲, 人面獸心的人
beggar	[n]乞丐
behave	[vi]舉動, 舉止, 運轉；[v]行為表現
belly	[n]腹部, 胃；[vi]漲滿
beneath	[副]在...之下；[介]在...之下
benefit	[n]利益, 好處；[vt]有益于, 有助于；[vi]受益
berry	[n]漿果
Bible	[n]《聖經》
billion	[n][a]十億(的)
bingo	[n]一種賭博游戲, 烈酒
biscuit	[n]餅乾, 小點心
blanket	[n]毯子；[vt]覆蓋
bleed	[v]使出血, 放血
bless	[vt]祝福, 保祐
bold	[a]大膽的；[n]粗體
boot	[n]<美>(長統)靴, 靴子
border	[n]邊界, 國界, 邊, 邊沿, 邊境
bore	[v]使煩擾
